merk_mobil,model_mobil,tahun_produksi,bahan_bakar,jarak_tempuh,transmisi,harga,lokasi,wilayah,kapasitas_mesin
chevrolet,trax,2019,Bensin,72.5,Automatic,190000000,Cilandak, Jakarta Selatan,1.25
chevrolet,captiva,2016,Diesel,162.5,Automatic,195000000,Cilandak, Jakarta Selatan,1.75
chevrolet,trax,2020,Bensin,32.5,Automatic,200000000,Pasar Minggu, Jakarta Selatan,1.75
chevrolet,trailblazer,2018,Diesel,32.5,Automatic,300000000,Bogor Utara - Kota, Bogor Kota,2.5
chevrolet,trailblazer,2018,Diesel,32.5,Automatic,300000000,Bogor Timur - Kota, Bogor Kota,2.5
chevrolet,trailblazer,2019,Diesel,17.5,Automatic,300000000,Pondok Aren, Tangerang Selatan Kota,1.25
chevrolet,captiva,2016,Diesel,92.5,Automatic,230000000,Bogor Barat - Kota, Bogor Kota,1.75
chevrolet,captiva,2016,Diesel,57.5,Automatic,240000000,Bekasi Utara, Bekasi Kota,2.5
chevrolet,captiva,2017,Diesel,62.5,Automatic,215000000,Bekasi Barat, Bekasi Kota,1.75
chevrolet,captiva,2017,Diesel,62.5,Automatic,215000000,Bekasi Barat, Bekasi Kota,1.75
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Bandung Wetan, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Cibeunying Kidul, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,62.5,Automatic,222500000,Panyileukan, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Bandung Wetan, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Bandung Wetan, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Bandung Wetan, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Bandung Wetan, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Bandung Wetan, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Bandung Wetan, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Bandung Wetan, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Bandung Wetan, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Cibeunying Kidul, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Cibeunying Kidul, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Cibeunying Kidul, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Cibeunying Kidul, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Cibeunying Kidul, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Cibeunying Kidul, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Cibeunying Kidul, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Cibeunying Kidul, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Cibeunying Kidul, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Cibeunying Kidul, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Cibeunying Kidul, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Cibeunying Kidul, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Cibeunying Kidul, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Cibeunying Kidul, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,223000000,Cibeunying Kidul, Bandung Kota,1.25
chevrolet,trax,2019,Bensin,67.5,Automatic,209000000,Bojongsoang, Bandung Kab.,1.25
chevrolet,trax,2019,Bensin,67.5,Automatic,209000000,Bojongsoang, Bandung Kab.,1.25
chevrolet,trax,2019,Bensin,67.5,Automatic,209000000,Bojongsoang, Bandung Kab.,1.25
chevrolet,trax,2019,Bensin,67.5,Automatic,209000000,Bojongsoang, Bandung Kab.,1.25
chevrolet,trax,2019,Bensin,67.5,Automatic,209000000,Bojongsoang, Bandung Kab.,1.25
daihatsu,ayla,2018,Bensin,72.5,Manual,67000000,Bekasi Barat, Bekasi Kota,1.25
daihatsu,ayla,2018,Bensin,72.5,Manual,67000000,Gunung Putri, Bogor Kab.,1.25
daihatsu,ayla,2018,Bensin,72.5,Manual,70000000,Bekasi Barat, Bekasi Kota,1.25
daihatsu,ayla,2018,Bensin,72.5,Manual,79000000,Bekasi Barat, Bekasi Kota,1.25
daihatsu,ayla,2018,Bensin,72.5,Automatic,80000000,Cempaka Putih, Jakarta Pusat,1.25
daihatsu,ayla,2017,Bensin,72.5,Manual,80000000,Bekasi Timur, Bekasi Kota,1.25
daihatsu,ayla,2017,Bensin,72.5,Manual,80000000,Cempaka Putih, Jakarta Pusat,1.25
daihatsu,ayla,2021,Bensin,72.5,Manual,83000000,Bekasi Barat, Bekasi Kota,1.25
daihatsu,ayla,2021,Bensin,72.5,Manual,83000000,Cibubur, Jakarta Timur,1.25
daihatsu,ayla,2021,Bensin,72.5,Manual,83000000,Gunung Putri, Bogor Kab.,1.25
daihatsu,ayla,2017,Bensin,72.5,Manual,85000000,Bekasi Barat, Bekasi Kota,1.25
daihatsu,gran max,2017,Bensin,72.5,Manual,85000000,Karawang Barat, Karawang Kab.,1.25
daihatsu,sigra,2019,Bensin,72.5,Manual,85000000,Telukjambe Timur, Karawang Kab.,1.25
daihatsu,ayla,2018,Bensin,72.5,Manual,86000000,Bekasi Barat, Bekasi Kota,1.25
daihatsu,ayla,2018,Bensin,72.5,Automatic,86000000,Bekasi Barat, Bekasi Kota,1.25
daihatsu,ayla,2017,Bensin,72.5,Manual,89000000,Karawang Barat, Karawang Kab.,1.25
daihatsu,ayla,2017,Bensin,72.5,Manual,90000000,Cibubur, Jakarta Timur,1.25
